grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
11961,29.72053052,0.769972459,1.298747751,,,,,0
11962,6.307831305,0.508686459,1.965847493,,,,,0
11963,10.17107236,0.662358633,1.509756121,,,,,0
11964,18.28183198,0.504421175,1.982470304,,,,,0
11965,21.48369928,0.884024192,1.131190763,,,,,0
11966,23.26213246,0.743709119,1.344611723,,,,,0
11967,18.28183198,0.640271904,1.561836453,,,,,0
11968,26.16039478,0.553680982,1.806094181,,,,,0
11969,30.64333801,0.647826559,1.543623037,,,,,0
11970,32.59385287,0.68987033,1.449547771,,,,,0
11971,33.13863466,0.73971623,1.351869758,,,,,0
11972,17.50352152,0.739931122,1.351477144,,,,,0
11973,30.99835429,0.842027466,1.187609716,,,,,0
11974,34.80757108,0.784226579,1.275141683,,,,,0
11975,33.13863466,0.659111309,1.51719442,,,,,0
11976,45.33308067,0.540485958,1.850186826,,,,,0
11977,13.52879095,0.588374157,1.699598781,,,,,0
11978,16.44881161,0.726656242,1.376166532,,,,,0
11979,21.85096861,0.798940355,1.251657891,,,,,0
11980,14.38406848,0.64239971,1.556663218,,,,,0
11981,24.26671155,0.626199601,1.596934905,,,,,0
11982,22.03230756,0.853670153,1.171412631,,,,,0
11983,41.17037945,0.50714467,1.971823937,,,,,0
11984,8.462843753,0.24899518,4.016142001,,,,,0
11985,12.92720736,0.830872531,1.203554051,,,,,0
11986,14.38406848,0.680989236,1.468451991,,,,,0
11987,17.72938275,0.628715277,1.590545096,,,,,0
11988,15.95769122,0.812093621,1.231385118,,,,,0
11989,10.17107236,0.668068438,1.496852633,,,,,0
11990,34.31831259,0.696968851,1.43478435,,,,,0
11991,46.78012898,0.697368119,1.433962886,,,,,0
11992,27.49519921,0.442375074,2.260525192,,,,,0
11993,61.72334607,0.640838703,1.560455065,,,,,0
11994,36.01545205,0.562106699,1.779021673,,,,,0
11995,29.85410661,0.751581028,1.33052853,,,,,0
11996,14.10473959,0.802842984,1.245573569,,,,,0
11997,19.23630013,0.644858007,1.55072898,,,,,0
11998,39.39239387,0.82332343,1.214589509,,,,,0
11999,23.3048545,0.788522577,1.268194506,,,,,0
12000,35.00704303,0.436791113,2.28942387,,,,,0
12001,39.01178211,0.537759155,1.859568528,,,,,0
12002,14.38406848,0.636276225,1.571644453,,,,,0
12003,12.61566261,0.58659911,1.70474176,,,,,0
12004,9.772050238,0.632171036,1.581850391,,,,,0
12005,12.92720736,0.560070667,1.785488974,,,,,0
12006,23.68588555,0.729715615,1.370396876,,,,,0
12007,21.29768973,0.7319632,1.366188902,,,,,0
12008,21.6681121,0.786024021,1.272225751,,,,,0
12009,14.10473959,0.732280783,1.365596399,,,,,0
12010,23.51730059,0.828097202,1.207587705,,,,,0
12011,27.78311491,0.415029522,2.409467151,,,,,0
12012,16.44881161,0.622366946,1.606769137,,,,,0
12013,26.76186174,0.88214673,1.133598262,,,,,0
12014,6.909882989,0.696363578,1.436031451,,,,,0
12015,11.71627664,0.753524755,1.327096414,,,,,0
